"";"species";"Abrev"
"901";"Arundinicola leucocephala";"Arun"
"902";"Combretum cacoucia";"Comb"
"903";"Elachyptera floribunda";"Elac"
"904";"Leptodon cayanensis";"Lept"
"905";"Inga multijuga";"Inga"
"906";"Ipomoea setifera";"Ipom"
"907";"Juanulloa mexicana";"Juan"
"908";"Pecari tajacu";"Peca"
"909";"Piaya minuta";"Piay"
"910";"Conirostrum bicolor";"Coni"
"911";"Boa imperator";"Boa "
"912";"Calidris alba";"Cali"
"913";"Chaetura pelagica";"Chae"
"914";"Tamandua mexicana";"Tama"
"915";"Imantodes cenchoa";"Iman"
"916";"Glossophaga soricina";"Glos"
"917";"Scinax rostratus";"Scin"
"918";"Streptoprocne zonaris";"Stre"
"919";"Loriotus luctuosus";"Lori"
"920";"Piculus chrysochloros";"Picu"
"921";"Turdus leucomelas";"Turd"
"922";"Eira barbara";"Eira"
"923";"Dasypus novemcinctus";"Dasy"
"924";"Elachistocleis pearsei";"Elac"
"925";"Cyperus articulatus";"Cype"
"926";"Numenius phaeopus";"Nume"
"927";"Hemidactylus frenatus";"Hemi"
"928";"Leptodeira ornata";"Lept"
"929";"Rhinella humboldti";"Rhin"
"930";"Boana platanera";"Boan"
"931";"Laterallus exilis";"Late"
"932";"Scinax ruber";"Scin"
"933";"Engystomops pustulosus";"Engy"
"934";"Leptodactylus fragilis";"Lept"
"935";"Leptodactylus insularum";"Lept"
"936";"Cerdocyon thous";"Cerd"
"937";"Oxybelis aeneus";"Oxyb"
"938";"Boana pugnax";"Boan"
"939";"Strix nigrolineata";"Stri"
"940";"Smilisca phaeota";"Smil"
"941";"Rhinella horribilis";"Rhin"
"942";"Trachycephalus typhonius";"Trac"
"943";"Kinosternon scorpioides";"Kino"
"944";"Anolis auratus";"Anol"
"945";"Spilotes pullatus";"Spil"
"946";"Scarthyla vigilans";"Scar"
"947";"Centrosema pubescens";"Cent"
"948";"Machaonia martinicensis";"Mach"
"949";"Macropsychanthus wilsonii";"Macr"
"950";"Mandevilla villosa";"Mand"
"951";"Mesechites trifidus";"Mese"
"952";"Miconia dependens";"Mico"
"953";"Pipa myersi";"Pipa"
"954";"Dolichandra uncata";"Doli"
"955";"Indigofera suffruticosa";"Indi"
"956";"Sterna hirundo";"Ster"
"957";"Cyperus obtusatus";"Cype"
"958";"Cyperus surinamensis";"Cype"
"959";"Elaeis oleifera";"Elae"
"960";"Fuirena umbellata";"Fuir"
"961";"Paspalum plicatulum";"Pasp"
"962";"Typha domingensis";"Typh"
"963";"Sesbania herbacea";"Sesb"
"964";"Sphagneticola trilobata";"Spha"
"965";"Trachemys venusta";"Trac"
"966";"Dendropsophus microcephalus";"Dend"
"967";"Boa constrictor";"Boa "
"968";"Calidris mauri";"Cali"
"969";"Lygophis lineatus";"Lygo"
"970";"Erythrolamprus melanotus";"Eryt"
"971";"Leptophis ahaetulla";"Lept"
"972";"Micrurus nigrocinctus";"Micr"
"973";"Capsiempis flaveola";"Caps"
"974";"Diploglossus monotropis";"Dipl"
"975";"Kinosternon dunni";"Kino"
"976";"Helicops danieli";"Heli"
"977";"Chironius flavopictus";"Chir"
"978";"Corallus ruschenbergerii";"Cora"
"979";"Cnemidophorus gaigei";"Cnem"
"980";"Artibeus lituratus";"Arti"
"981";"Myotis riparius";"Myot"
"982";"Amazona amazonica";"Amaz"
"983";"Ara severus";"Ara "
"984";"Gouania lupuloides";"Goua"
"985";"Sotalia guianensis";"Sota"
"986";"Phrynonax poecilonotus";"Phry"
"987";"Conepatus semistriatus";"Cone"
"988";"Basiliscus basiliscus";"Basi"
"989";"Oryzomys alfaroi";"Oryz"
"990";"Amaurolimnas concolor";"Amau"
"991";"Geothlypis formosa";"Geot"
"992";"Myiozetetes granadensis";"Myio"
"993";"Setophaga coronata";"Seto"
"994";"Buteo swainsoni";"Bute"
"995";"Clelia clelia";"Clel"
"996";"Ramphocaenus melanurus";"Ramp"
"997";"Euphorbia hypericifolia";"Euph"
"998";"Funastrum clausum";"Funa"
"999";"Elaenia chiriquensis";"Elae"
"1000";"Dasyprocta punctata";"Dasy"
"1001";"Passiflora ambigua";"Pass"
"1002";"Asclepias curassavica";"Ascl"
"1003";"Xylocopa ecuadorica";"Xylo"
"1004";"Alibertia edulis";"Alib"
"1005";"Condea verticillata";"Cond"
"1006";"Odontocarya tamoides";"Odon"
"1007";"Senna sophera";"Senn"
"1008";"Aotus zonalis";"Aotu"
"1009";"Ateles fusciceps";"Atel"
"1010";"Erythrina variegata";"Eryt"
"1011";"Gouania polygama";"Goua"
"1012";"Chalybura buffonii";"Chal"
"1013";"Pipra erythrocephala";"Pipr"
"1014";"Spatula discors";"Spat"
"1015";"Artibeus obscurus";"Arti"
"1016";"Polygala paniculata";"Poly"
"1017";"Geothlypis semiflava";"Geot"
"1018";"Rhinoclemmys melanosterna";"Rhin"
"1019";"Macrocnemum roseum";"Macr"
"1020";"Witheringia solanacea";"With"
"1021";"Stercorarius pomarinus";"Ster"
"1022";"Phoneutria reidyi";"Phon"
"1023";"Balaenoptera physalus";"Bala"
"1024";"Micoureus alstoni";"Mico"
"1025";"Oncostoma olivaceum";"Onco"
"1026";"Palicourea racemosa";"Pali"
"1027";"Arsenura armida";"Arse"
"1028";"Chlorestes eliciae";"Chlo"
"1029";"Nereiphylla castanea";"Nere"
"1030";"Geothlypis aequinoctialis";"Geot"
"1031";"Piper hispidum";"Pipe"
"1032";"Piper reticulatum";"Pipe"
"1033";"Piper variegatum";"Pipe"
"1034";"Aeschynomene sensitiva";"Aesc"
"1035";"Allophylus racemosus";"Allo"
"1036";"Annona acuminata";"Anno"
"1037";"Campomanesia lineatifolia";"Camp"
"1038";"Ceiba pentandra";"Ceib"
"1039";"Clathrotropis brunnea";"Clat"
"1040";"Coccoloba nutans";"Cocc"
"1041";"Cordia ulei";"Cord"
"1042";"Ficus obtusifolia";"Ficu"
"1043";"Ficus pertusa";"Ficu"
"1044";"Handroanthus guayacan";"Hand"
"1045";"Luehea seemannii";"Lueh"
"1046";"Macrolobium costaricense";"Macr"
"1047";"Miconia conocuatrecasii";"Mico"
"1048";"Ocotea puberula";"Ocot"
"1049";"Pentagonia macrophylla";"Pent"
"1050";"Pterocarpus rohrii";"Pter"
"1051";"Rinorea paniculata";"Rino"
"1052";"Rosenbergiodendron formosum";"Rose"
"1053";"Senna hayesiana";"Senn"
"1054";"Triplaris cumingiana";"Trip"
"1055";"Vitex masoniana";"Vite"
"1056";"Mabea occidentalis";"Mabe"
"1057";"Pavonia paludicola";"Pavo"
"1058";"Piper dilatatum";"Pipe"
"1059";"Vismia guianensis";"Vism"
"1060";"Acrostichum aureum";"Acro"
"1061";"Azolla caroliniana";"Azol"
"1062";"Pteris tripartita";"Pter"
"1063";"Telmatoblechnum serrulatum";"Telm"
"1064";"Phyllanthus urinaria";"Phyl"
"1065";"Cordia eriostigma";"Cord"
"1066";"Quassia amara";"Quas"
"1067";"Torenia crustacea";"Tore"
"1068";"Varronia dichotoma";"Varr"
"1069";"Andropogon bicornis";"Andr"
"1070";"Aquarius tunicatus";"Aqua"
"1071";"Cyperus ligularis";"Cype"
"1072";"Cyperus odoratus";"Cype"
"1073";"Cyperus polystachyos";"Cype"
"1074";"Abelmoschus esculentus";"Abel"
"1075";"Cosmos caudatus";"Cosm"
"1076";"Cyperus tibialis";"Cype"
"1077";"Eleocharis geniculata";"Eleo"
"1078";"Eleocharis mutata";"Eleo"
"1079";"Fimbristylis cymosa";"Fimb"
"1080";"Fimbristylis spadicea";"Fimb"
"1081";"Hyparrhenia rufa";"Hypa"
"1082";"Imperata contracta";"Impe"
"1083";"Paepalanthus fluviatilis";"Paep"
"1084";"Paspalum virgatum";"Pasp"
"1085";"Phragmites australis";"Phra"
"1086";"Sagittaria lancifolia";"Sagi"
"1087";"Xyris jupicai";"Xyri"
"1088";"Alysicarpus vaginalis";"Alys"
