"";"species";"Abrev"
"1370";"Leptotila cassinii";"Lept"
"1371";"Trogon chionurus";"Trog"
"1372";"Amphilophium paniculatum";"Amph"
"1373";"Annona papilionella";"Anno"
"1374";"Chamissoa altissima";"Cham"
"1375";"Thoracocarpus bissectus";"Thor"
"1376";"Drymonia serrulata";"Drym"
"1377";"Ectatomma edentatum";"Ecta"
"1378";"Heilipus draco";"Heil"
"1379";"Dimerandra emarginata";"Dime"
"1380";"Miconia nervosa";"Mico"
"1381";"Hyptis brevipes";"Hypt"
"1382";"Hyptis capitata";"Hypt"
"1383";"Melothria pendula";"Melo"
"1384";"Miconia subcrustulata";"Mico"
"1385";"Passovia pyrifolia";"Pass"
"1386";"Saccoderma hastata";"Sacc"
"1387";"Phylloscartes ophthalmicus";"Phyl"
"1388";"Sayornis nigricans";"Sayo"
"1389";"Cassia fistula";"Cass"
"1390";"Delonix regia";"Delo"
"1391";"Eryngium foetidum";"Eryn"
"1392";"Euphorbia heterophylla";"Euph"
"1393";"Didymopanax morototoni";"Didy"
"1394";"Palicourea tomentosa";"Pali"
"1395";"Aechmea dactylina";"Aech"
"1396";"Anthurium caucavallense";"Anth"
"1397";"Dieffenbachia isthmia";"Dief"
"1398";"Spathiphyllum phryniifolium";"Spat"
"1399";"Aristolochia leuconeura";"Aris"
"1400";"Bunchosia glandulifera";"Bunc"
"1401";"Calopogonium caeruleum";"Calo"
"1402";"Cantinoa mutabilis";"Cant"
"1403";"Pithecellobium dulce";"Pith"
"1404";"Salvia occidentalis";"Salv"
"1405";"Samanea saman";"Sama"
"1406";"Hemithraupis flavicollis";"Hemi"
"1407";"Xylosma oligandra";"Xylo"
"1408";"Thalurania furcata";"Thal"
"1409";"Bunchosia argentea";"Bunc"
"1410";"Tectona grandis";"Tect"
"1411";"Ramphastos vitellinus";"Ramp"
"1412";"Miconia aeruginosa";"Mico"
"1413";"Tovaria pendula";"Tova"
"1414";"Dyscinetus dubius";"Dysc"
"1415";"Onychorhynchus coronatus";"Onyc"
"1416";"Senefeldera testiculata";"Sene"
"1417";"Euetheola bidentata";"Euet"
"1418";"Pelekium involvens";"Pele"
"1419";"Caperonia palustris";"Cape"
"1420";"Heilipodus nigrooculatus";"Heil"
"1421";"Bactris pilosa";"Bact"
"1422";"Clusia decussata";"Clus"
"1423";"Gitara nicaraguensis";"Gita"
"1424";"Lunania parviflora";"Luna"
"1425";"Rhodothyrsus hirsutus";"Rhod"
"1426";"Tabebuia ochracea";"Tabe"
"1427";"Brownea rosa-de-monte";"Brow"
"1428";"Eugenia florida";"Euge"
"1429";"Phoradendron tardispicum";"Phor"
"1430";"Phyllostomus discolor";"Phyl"
"1431";"Chloroprocta idioidea";"Chlo"
"1432";"Trigonia rugosa";"Trig"
"1433";"Smilax mollis";"Smil"
"1434";"Crypturellus erythropus";"Cryp"
"1435";"Goeppertia latifolia";"Goep"
"1436";"Philodendron tripartitum";"Phil"
"1437";"Begonia semiovata";"Bego"
"1438";"Bignonia diversifolia";"Bign"
"1439";"Chloropetalum denticulatum";"Chlo"
"1440";"Cleidion castaneifolium";"Clei"
"1441";"Cupania cinerea";"Cupa"
"1442";"Doliocarpus nitidus";"Doli"
"1443";"Mouriri myrtilloides";"Mour"
"1444";"Preslianthus pittieri";"Pres"
"1445";"Fridericia florida";"Frid"
"1446";"Tabernaemontana amplifolia";"Tabe"
"1447";"Vernonanthura patens";"Vern"
"1448";"Cyclopeltis semicordata";"Cycl"
"1449";"Nephrolepis pendula";"Neph"
"1450";"Niphidium crassifolium";"Niph"
"1451";"Cenchrus purpureus";"Cenc"
"1452";"Philodendron inaequilaterum";"Phil"
"1453";"Aeschynomene ciliata";"Aesc"
"1454";"Coccoloba obovata";"Cocc"
"1455";"Calatola costaricensis";"Cala"
"1456";"Cascabela thevetia";"Casc"
"1457";"Ficus donnell-smithii";"Ficu"
"1458";"Croton fragrantulus";"Crot"
"1459";"Heliotropium indicum";"Heli"
"1460";"Neurolaena lobata";"Neur"
"1461";"Averrhoa carambola";"Aver"
"1462";"Chaetura chapmani";"Chae"
"1463";"Passiflora edulis";"Pass"
"1464";"Bacopa repens";"Baco"
"1465";"Melia azedarach";"Meli"
"1466";"Terminalia catappa";"Term"
"1467";"Claravis pretiosa";"Clar"
"1468";"Aegiphila laeta";"Aegi"
"1469";"Citrus limon";"Citr"
"1470";"Cercomacra nigricans";"Cerc"
"1471";"Odontophorus gujanensis";"Odon"
"1472";"Trogon caligatus";"Trog"
"1473";"Patagioenas subvinacea";"Pata"
"1474";"Brownea ariza";"Brow"
"1475";"Tibouchina longifolia";"Tibo"
"1476";"Roystonea regia";"Roys"
"1477";"Bunchosia nitida";"Bunc"
"1478";"Cochlospermum orinocense";"Coch"
"1479";"Pleurothyrium glabritepalum";"Pleu"
"1480";"Cordia panamensis";"Cord"
"1481";"Pouteria multiflora";"Pout"
"1482";"Himatanthus bracteatus";"Hima"
"1483";"Virola sebifera";"Viro"
"1484";"Uribea tamarindoides";"Urib"
"1485";"Adenocalymma chocoense";"Aden"
"1486";"Heliconia metallica";"Heli"
"1487";"Melothria trilobata";"Melo"
"1488";"Miconia sericea";"Mico"
"1489";"Brachygalba salmoni";"Brac"
"1490";"Malvaviscus concinnus";"Malv"
"1491";"Potos flavus";"Poto"
"1492";"Falco rufigularis";"Falc"
"1493";"Otoba novogranatensis";"Otob"
"1494";"Lipaugus unirufus";"Lipa"
"1495";"Werauhia kupperiana";"Wera"
"1496";"Werauhia sanguinolenta";"Wera"
"1497";"Tillandsia juncea";"Till"
"1498";"Tillandsia fasciculata";"Till"
"1499";"Tillandsia kegeliana";"Till"
"1500";"Dacnis lineata";"Dacn"
"1501";"Deconychura longicauda";"Deco"
"1502";"Mionectes galbinus";"Mion"
"1503";"Saurauia yasicae";"Saur"
"1504";"Tetrathylacium macrophyllum";"Tetr"
"1505";"Sloanea guianensis";"Sloa"
"1506";"Psidium guajava";"Psid"
"1507";"Solanum rovirosanum";"Sola"
"1508";"Stachytarpheta cayennensis";"Stac"
"1509";"Anisognathus somptuosus";"Anis"
"1510";"Pittasoma rufopileatum";"Pitt"
"1511";"Automolus ochrolaemus";"Auto"
"1512";"Corapipo leucorrhoa";"Cora"
"1513";"Cyphorhinus thoracicus";"Cyph"
"1514";"Trogon collaris";"Trog"
"1515";"Adenaria floribunda";"Aden"
"1516";"Rauvolfia littoralis";"Rauv"
"1517";"Cestrum racemosum";"Cest"
"1518";"Apeiba tibourbou";"Apei"
"1519";"Aphelandra scabra";"Aphe"
"1520";"Notharchus pectoralis";"Noth"
"1521";"Stilpnia cyanicollis";"Stil"
"1522";"Tangara lavinia";"Tang"
"1523";"Xiphorhynchus triangularis";"Xiph"
"1524";"Copaifera pubiflora";"Copa"
"1525";"Leonia occidentalis";"Leon"
"1526";"Miconia argentea";"Mico"
"1527";"Moutabea gentryi";"Mout"
"1528";"Nectandra obtusata";"Nect"
"1529";"Sagotia racemosa";"Sago"
"1530";"Accipiter bicolor";"Acci"
"1531";"Euphonia fulvicrissa";"Euph"
"1532";"Lepidothrix coronata";"Lepi"
"1533";"Platyrinchus coronatus";"Plat"
"1534";"Jacamerops aureus";"Jaca"
"1535";"Olyra latifolia";"Olyr"
"1536";"Buteo albicaudatus";"Bute"
"1537";"Hylomanes momotula";"Hylo"
"1538";"Tachyphonus rufus";"Tach"
"1539";"Xenerpestes minlosi";"Xene"
"1540";"Nystalus radiatus";"Nyst"
"1541";"Gymnopithys leucaspis";"Gymn"
"1542";"Phyllomyias griseiceps";"Phyl"
"1543";"Nymphaea jamesoniana";"Nymp"
"1544";"Coussapoa orthoneura";"Cous"
"1545";"Spondias radlkoferi";"Spon"
"1546";"Tangara gyrola";"Tang"
"1547";"Chlorophanes spiza";"Chlo"
"1548";"Myiodynastes hemichrysus";"Myio"
"1549";"Bothriochloa pertusa";"Both"
"1550";"Miconia purpureoviolacea";"Mico"
"1551";"Epidendrum rigidum";"Epid"
"1552";"Desmopsis schippii";"Desm"
"1553";"Peperomia glabella";"Pepe"
"1554";"Peperomia urocarpa";"Pepe"
"1555";"Eclipta prostrata";"Ecli"
"1556";"Gasteranthus delphinioides";"Gast"
"1557";"Piper guapense";"Pipe"
"1558";"Piper scansum";"Pipe"
"1559";"Solanum hayesii";"Sola"
"1560";"Funastrum glaucum";"Funa"
"1561";"Sapium glandulosum";"Sapi"
"1562";"Siparuna thecaphora";"Sipa"
"1563";"Oxandra longipetala";"Oxan"
"1564";"Swartzia myrtifolia";"Swar"
"1565";"Saucerottia saucerottei";"Sauc"
"1566";"Lecythis mesophylla";"Lecy"
"1567";"Scatimus ovatus";"Scat"
"1568";"Pogonopus exsertus";"Pogo"
"1569";"Momotus aequatorialis";"Momo"
"1570";"Eurypyga helias";"Eury"
"1571";"Meteorium nigrescens";"Mete"
"1572";"Bactris barronis";"Bact"
"1573";"Bactris coloradonis";"Bact"
"1574";"Napeanthus apodemus";"Nape"
"1575";"Octoblepharum albidum";"Octo"
"1576";"Tillandsia usneoides";"Till"
"1577";"Aegiphila panamensis";"Aegi"
"1578";"Cissampelos andromorpha";"Ciss"
"1579";"Trogon rufus";"Trog"
"1580";"Fissidens intramarginatus";"Fiss"
"1581";"Thamniopsis colombica";"Tham"
"1582";"Drymonia warszewicziana";"Drym"
"1583";"Setophaga pitiayumi";"Seto"
"1584";"Ficus matiziana";"Ficu"
"1585";"Hamelia patens";"Hame"
"1586";"Discophora guianensis";"Disc"
"1587";"Anthurium obtusum";"Anth"
"1588";"Anaxagorea crassipetala";"Anax"
"1589";"Ardisia copeyana";"Ardi"
"1590";"Byrsonima hypoleuca";"Byrs"
"1591";"Casearia bicolor";"Case"
"1592";"Columnea sanguinea";"Colu"
"1593";"Compsoneura atopa";"Comp"
"1594";"Croton killipianus";"Crot"
"1595";"Fusaea longifolia";"Fusa"
"1596";"Hiraea cephalotes";"Hira"
"1597";"Mendoncia gracilis";"Mend"
"1598";"Odontadenia puncticulosa";"Odon"
"1599";"Orphanodendron bernalii";"Orph"
"1600";"Salacia cordata";"Sala"
"1601";"Trichodrymonia conferta";"Tric"
"1602";"Ravenia rosea";"Rave"
"1603";"Marcgraviastrum mixtum";"Marc"
"1604";"Dysithamnus puncticeps";"Dysi"
"1605";"Siparuna conica";"Sipa"
"1606";"Bactris obovata";"Bact"
"1607";"Calycophysum spectabile";"Caly"
"1608";"Cayaponia glandulosa";"Caya"
"1609";"Ficus americana";"Ficu"
"1610";"Mosannona hypoglauca";"Mosa"
"1611";"Nymphaea lotus";"Nymp"
"1612";"Prestonia ipomaeifolia";"Pres"
"1613";"Solanum canense";"Sola"
"1614";"Chlorothraupis olivacea";"Chlo"
"1615";"Cymbilaimus lineatus";"Cymb"
"1616";"Hylopezus dives";"Hylo"
"1617";"Mitrospingus cassinii";"Mitr"
"1618";"Campylorhamphus trochilirostris";"Camp"
"1619";"Cyanerpes cyaneus";"Cyan"
"1620";"Hylophilus decurtatus";"Hylo"
"1621";"Hylophilus ochraceiceps";"Hylo"
"1622";"Lophostrix cristata";"Loph"
"1623";"Polyerata rosenbergi";"Poly"
"1624";"Vireolanius eximius";"Vire"
"1625";"Citharexylum caudatum";"Cith"
"1626";"Aechmea angustifolia";"Aech"
"1627";"Guzmania rhonhofiana";"Guzm"
"1628";"Croton punctatus";"Crot"
"1629";"Lycianthes scandens";"Lyci"
"1630";"Malachra alceifolia";"Mala"
"1631";"Rauvolfia tetraphylla";"Rauv"
"1632";"Eumachia boliviana";"Euma"
"1633";"Palicourea stenostachya";"Pali"
"1634";"Miconia solearis";"Mico"
"1635";"Piper multiplinervium";"Pipe"
"1636";"Stenospermation angustifolium";"Sten"
"1637";"Kohleria tubiflora";"Kohl"
"1638";"Callicostella pallida";"Call"
"1639";"Fissidens guianensis";"Fiss"
"1640";"Plagiochila montagnei";"Plag"
"1641";"Moquilea magnifructa";"Moqu"
"1642";"Pouteria glomerata";"Pout"
"1643";"Zanthoxylum caribaeum";"Zant"
"1644";"Aechmea pubescens";"Aech"
"1645";"Naucleopsis glabra";"Nauc"
"1646";"Pilea centradenioides";"Pile"
"1647";"Protium colombianum";"Prot"
"1648";"Xylopia macrantha";"Xylo"
"1649";"Campylorhamphus pusillus";"Camp"
"1650";"Ampelocera macrocarpa";"Ampe"
"1651";"Rhamdia guatemalensis";"Rham"
"1652";"Albizia carbonaria";"Albi"
"1653";"Gonzalagunia panamensis";"Gonz"
"1654";"Sorocea sprucei";"Soro"
"1655";"Caryocar glabrum";"Cary"
"1656";"Chrysochlamys colombiana";"Chry"
"1657";"Pouteria durlandii";"Pout"
"1658";"Preslianthus detonsus";"Pres"
"1659";"Psychotria trichotoma";"Psyc"
"1660";"Rhodostemonodaphne kunthiana";"Rhod"
"1661";"Rinorea viridifolia";"Rino"
"1662";"Androdon aequatorialis";"Andr"
"1663";"Mabea klugii";"Mabe"
"1664";"Micropholis maguirei";"Micr"
"1665";"Enyalioides heterolepis";"Enya"
"1666";"Costus scaber";"Cost"
"1667";"Heliconia marginata";"Heli"
"1668";"Aiouea montana";"Aiou"
"1669";"Allophylus floribundus";"Allo"
"1670";"Baccharis trinervis";"Bacc"
"1671";"Cordia alliodora";"Cord"
"1672";"Heliotropium foetidissimum";"Heli"
"1673";"Lepidaploa lehmannii";"Lepi"
"1674";"Parkia nitida";"Park"
"1675";"Dendrophidion percarinatum";"Dend"
"1676";"Bagre bagre";"Bagr"
"1677";"Carangoides bartholomaei";"Cara"
"1678";"Cetengraulis edentulus";"Cete"
"1679";"Larimus breviceps";"Lari"
"1680";"Lobotes surinamensis";"Lobo"
"1681";"Symphurus plagiusa";"Symp"
"1682";"Synodus saurus";"Syno"
"1683";"Trichiurus lepturus";"Tric"
"1684";"Carludovica palmata";"Carl"
"1685";"Heliconia mariae";"Heli"
"1686";"Heliconia stricta";"Heli"
"1687";"Achirus lineatus";"Achi"
"1688";"Hoplias malabaricus";"Hopl"
"1689";"Hoplosternum magdalenae";"Hopl"
"1690";"Anthurium kunthii";"Anth"
"1691";"Desmoncus orthacanthos";"Desm"
"1692";"Bauhinia picta";"Bauh"
"1693";"Cestrum latifolium";"Cest"
"1694";"Guettarda sanblasensis";"Guet"
"1695";"Schiffornis turdina";"Schi"
"1696";"Conopias albovittatus";"Cono"
"1697";"Phaethornis yaruqui";"Phae"
"1698";"Rhynchocyclus olivaceus";"Rhyn"
"1699";"Rhytipterna holerythra";"Rhyt"
"1700";"Guettarda ramuliflora";"Guet"
"1701";"Lecointea amazonica";"Leco"
"1702";"Picramnia gracilis";"Picr"
"1703";"Platypodium elegans";"Plat"
"1704";"Rudgea skutchii";"Rudg"
"1705";"Strychnos croatii";"Stry"
"1706";"Clarisia racemosa";"Clar"
"1707";"Patagioenas goodsoni";"Pata"
"1708";"Dendrocincla homochroa";"Dend"
"1709";"Pionopsitta pyrilia";"Pion"
"1710";"Unonopsis darienensis";"Unon"
"1711";"Aparisthmium cordatum";"Apar"
"1712";"Ficus tonduzii";"Ficu"
"1713";"Protium panamense";"Prot"
"1714";"Quadrella indica";"Quad"
"1715";"Unonopsis colombiana";"Unon"
"1716";"Melampodium perfoliatum";"Mela"
"1717";"Aptandra tubicina";"Apta"
"1718";"Pristimera verrucosa";"Pris"
"1719";"Sipia palliata";"Sipi"
"1720";"Rodriguezia carnea";"Rodr"
"1721";"Bagre marinus";"Bagr"
"1722";"Batrachoides surinamensis";"Batr"
"1723";"Centropomus parallelus";"Cent"
"1724";"Diapterus rhombeus";"Diap"
"1725";"Hemicaranx amblyrhynchus";"Hemi"
"1726";"Isopisthus parvipinnis";"Isop"
"1727";"Mugil curema";"Mugi"
"1728";"Odontognathus compressus";"Odon"
"1729";"Oligoplites saliens";"Olig"
"1730";"Opisthonema oglinum";"Opis"
"1731";"Polydactylus virginicus";"Poly"
"1732";"Prionotus evolans";"Prio"
"1733";"Carcharhinus porosus";"Carc"
"1734";"Anthurium scandens";"Anth"
"1735";"Campylocentrum micranthum";"Camp"
"1736";"Ionopsis utricularioides";"Iono"
"1737";"Macroclinium xiphophorus";"Macr"
"1738";"Anthurium versicolor";"Anth"
"1739";"Catasetum maculatum";"Cata"
"1740";"Botaurus pinnatus";"Bota"
"1741";"Machaeropterus deliciosus";"Mach"
"1742";"Machaeropterus striolatus";"Mach"
"1743";"Pharomachrus auriceps";"Phar"
"1744";"Parkesia motacilla";"Park"
"1745";"Thryophilus rufalbus";"Thry"
"1746";"Croton trinitatis";"Crot"
"1747";"Penelope ortoni";"Pene"
"1748";"Corapipo altera";"Cora"
"1749";"Mitrephanes phaeocercus";"Mitr"
"1750";"Pheugopedius mystacalis";"Pheu"
"1751";"Tangara florida";"Tang"
"1752";"Scinax elaeochroa";"Scin"
"1753";"Ancylometes bogotensis";"Ancy"
"1754";"Opisthacanthus elatus";"Opis"
"1755";"Tityus asthenes";"Tity"
"1756";"Echinosaura palmeri";"Echi"
"1757";"Geotrygon montana";"Geot"
"1758";"Dacnis viguieri";"Dacn"
"1759";"Leptotrygon veraguensis";"Lept"
"1760";"Psidium guineense";"Psid"
"1761";"Hirtella magnifolia";"Hirt"
"1762";"Palicourea pseudaxillaris";"Pali"
"1763";"Palicourea solitudinum";"Pali"
"1764";"Clarisia biflora";"Clar"
"1765";"Tessaria integrifolia";"Tess"
"1766";"Palicourea pilosa";"Pali"
"1767";"Clusia colombiana";"Clus"
"1768";"Rugoloa pilosa";"Rugo"
"1769";"Fissidens crispus";"Fiss"
"1770";"Fissidens pellucidus";"Fiss"
"1771";"Aphelandra terryae";"Aphe"
"1772";"Ficus citrifolia";"Ficu"
"1773";"Dacryodes occidentalis";"Dacr"
"1774";"Miconia affinis";"Mico"
"1775";"Miconia chaetodonta";"Mico"
"1776";"Phoradendron piperoides";"Phor"
"1777";"Saurauia floccifera";"Saur"
"1778";"Solanum imberbe";"Sola"
"1779";"Clusia amazonica";"Clus"
"1780";"Drymonia tomentulifera";"Drym"
"1781";"Hymenandra callejasii";"Hyme"
"1782";"Lycianthes pauciflora";"Lyci"
"1783";"Miconia lateriflora";"Mico"
"1784";"Myrcia coumete";"Myrc"
"1785";"Piper brachypodon";"Pipe"
"1786";"Piper cararense";"Pipe"
"1787";"Piper perpusillum";"Pipe"
"1788";"Vismia mandurr";"Vism"
"1789";"Eleusine indica";"Eleu"
"1790";"Ichnanthus pallens";"Ichn"
"1791";"Sciodaphyllum sphaerocoma";"Scio"
"1792";"Anthurium formosum";"Anth"
"1793";"Anthurium nigrescens";"Anth"
"1794";"Anthurium sanctifidense";"Anth"
"1795";"Anthurium subcaudatum";"Anth"
"1796";"Tillandsia monadelpha";"Till"
"1797";"Adelobotrys adscendens";"Adel"
"1798";"Cayaponia hammelii";"Caya"
"1799";"Clusia martiana";"Clus"
"1800";"Drymonia macrophylla";"Drym"
"1801";"Inga bourgoni";"Inga"
"1802";"Manihot brachyloba";"Mani"
"1803";"Miconia crenulata";"Mico"
"1804";"Ocotea insularis";"Ocot"
"1805";"Plukenetia volubilis";"Pluk"
"1806";"Anthurium matajense";"Anth"
"1807";"Talisia cerasina";"Tali"
"1808";"Lippia alba";"Lipp"
"1809";"Neea amplifolia";"Neea"
"1810";"Piper aduncum";"Pipe"
"1811";"Simarouba amara";"Sima"
"1812";"Mickelia nicotianifolia";"Mick"
"1813";"Tabernaemontana heterophylla";"Tabe"
"1814";"Banisteriopsis elegans";"Bani"
"1815";"Cybianthus sprucei";"Cybi"
"1816";"Lophornis delattrei";"Loph"
"1817";"Ramphocelus icteronotus";"Ramp"
"1818";"Cayaponia prunifera";"Caya"
"1819";"Centrosolenia picta";"Cent"
"1820";"Chelonanthus alatus";"Chel"
"1821";"Clusia magnifolia";"Clus"
"1822";"Columnea bilabiata";"Colu"
"1823";"Coussarea loftonii";"Cous"
"1824";"Cuphea setosa";"Cuph"
"1825";"Cybianthus kayapii";"Cybi"
"1826";"Dendropanax caucanus";"Dend"
"1827";"Clusia lineata";"Clus"
"1828";"Banisteriopsis wilburii";"Bani"
"1829";"Anthurium eminens";"Anth"
"1830";"Anthurium obtusilobum";"Anth"
"1831";"Anthurium salvinii";"Anth"
"1832";"Asplundia moritziana";"Aspl"
"1833";"Dicranopygium novogranatense";"Dicr"
"1834";"Dioscorea racemosa";"Dios"
"1835";"Evodianthus funifer";"Evod"
"1836";"Goeppertia elegans";"Goep"
"1837";"Smilax purhampuy";"Smil"
"1838";"Besleria barbata";"Besl"
"1839";"Dialium guianense";"Dial"
"1840";"Epiphyllum hookeri";"Epip"
"1841";"Galipea panamensis";"Gali"
"1842";"Gurania pseudospinulosa";"Gura"
"1843";"Henriettea cuneata";"Henr"
"1844";"Hieronyma fendleri";"Hier"
"1845";"Miconia ampla";"Mico"
"1846";"Miconia dorsiloba";"Mico"
"1847";"Miconia gracilis";"Mico"
"1848";"Miconia pseudoalternifolia";"Mico"
"1849";"Miconia secungrandifolia";"Mico"
"1850";"Miconia sessiliflora";"Mico"
"1851";"Miconia simplex";"Mico"
"1852";"Miconia tococa";"Mico"
"1853";"Palicourea bracteocardia";"Pali"
"1854";"Palicourea guianensis";"Pali"
"1855";"Palicourea microbotrys";"Pali"
"1856";"Palicourea winkleri";"Pali"
"1857";"Paullinia hispida";"Paul"
"1858";"Pilea daguensis";"Pile"
"1859";"Psychotria capitata";"Psyc"
"1860";"Psychotria remota";"Psyc"
"1861";"Ryania speciosa";"Ryan"
"1862";"Triolena spicata";"Trio"
"1863";"Witheringia coccoloboides";"With"
"1864";"Asterogyne martiana";"Aste"
"1865";"Bactris glandulosa";"Bact"
"1866";"Aiphanes hirsuta";"Aiph"
"1867";"Bactris maraja";"Bact"
"1868";"Harpia harpyja";"Harp"
"1869";"Herpsilochmus frater";"Herp"
"1870";"Streptoprocne rutila";"Stre"
"1871";"Campephilus haematogaster";"Camp"
"1872";"Cantorchilus leucopogon";"Cant"
"1873";"Philydor fuscipenne";"Phil"
"1874";"Discosura conversii";"Disc"
"1875";"Leptopogon superciliaris";"Lept"
"1876";"Tangara icterocephala";"Tang"
"1877";"Rhynchocyclus pacificus";"Rhyn"
"1878";"Saltator grossus";"Salt"
"1879";"Thamnistes anabatinus";"Tham"
"1880";"Zimmerius chrysops";"Zimm"
"1881";"Lophotriccus pileatus";"Loph"
"1882";"Contopus fumigatus";"Cont"
"1883";"Selenidera spectabilis";"Sele"
"1884";"Xiphorhynchus lachrymosus";"Xiph"
"1885";"Aburria aburri";"Abur"
"1886";"Anabacerthia variegaticeps";"Anab"
"1887";"Eutoxeres aquila";"Euto"
"1888";"Clytoctantes alixii";"Clyt"
"1889";"Cyclarhis gujanensis";"Cycl"
"1890";"Dysithamnus mentalis";"Dysi"
"1891";"Hafferia zeledoni";"Haff"
"1892";"Heliodoxa jacula";"Heli"
"1893";"Henicorhina leucophrys";"Heni"
"1894";"Hyloctistes subulatus";"Hylo"
"1895";"Ixothraupis guttata";"Ixot"
"1896";"Lepidocolaptes lacrymiger";"Lepi"
"1897";"Leucopternis plumbeus";"Leuc"
"1898";"Leucopternis princeps";"Leuc"
"1899";"Leucopternis semiplumbeus";"Leuc"
"1900";"Microbates cinereiventris";"Micr"
"1901";"Myiophobus fasciatus";"Myio"
"1902";"Oporornis agilis";"Opor"
"1903";"Phaenostictus mcleannani";"Phae"
"1904";"Phaethornis guy";"Phae"
"1905";"Pheugopedius spadix";"Pheu"
"1906";"Sclerurus obscurior";"Scle"
"1907";"Scytalopus vicinior";"Scyt"
"1908";"Tachyphonus delatrii";"Tach"
"1909";"Tangara arthus";"Tang"
"1910";"Anemopaegma chrysanthum";"Anem"
"1911";"Annona tenuiflora";"Anno"
"1912";"Aristolochia constricta";"Aris"
"1913";"Aristolochia nummularifolia";"Aris"
"1914";"Calopogonium mucunoides";"Calo"
"1915";"Iryanthera laevis";"Irya"
"1916";"Mucuna mollis";"Mucu"
"1917";"Otoba gracilipes";"Otob"
"1918";"Paullinia serjaniifolia";"Paul"
"1919";"Serjania circumvallata";"Serj"
"1920";"Tabernaemontana alba";"Tabe"
"1921";"Vigna vexillata";"Vign"
"1922";"Hyptis obtusiflora";"Hypt"
"1923";"Neomorphus geoffroyi";"Neom"
"1924";"Clusia cylindrica";"Clus"
"1925";"Phragmotheca mammosa";"Phra"
"1926";"Magnolia katiorum";"Magn"
"1927";"Taxithelium planum";"Taxi"
"1928";"Lejeunea laeta";"Leje"
"1929";"Coussapoa herthae";"Cous"
"1930";"Coussapoa fulvescens";"Cous"
"1931";"Zamia manicata";"Zami"
"1932";"Geophis brachycephalus";"Geop"
"1933";"Pliocercus euryzonus";"Plio"
"1934";"Pseudoboa neuwiedii";"Pseu"
"1935";"Trachyboa boulengeri";"Trac"
"1936";"Agalychnis terranova";"Agal"
"1937";"Imantodes inornatus";"Iman"
"1938";"Oxybelis brevirostris";"Oxyb"
"1939";"Siphlophis compressus";"Siph"
"1940";"Bothriechis schlegelii";"Both"
"1941";"Cucumis melo";"Cucu"
"1942";"Nissolia fruticosa";"Niss"
"1943";"Steriphoma paradoxum";"Ster"
"1944";"Centrolobium yavizanum";"Cent"
"1945";"Sacoila lanceolata";"Saco"
"1946";"Ampelocera longissima";"Ampe"
"1947";"Crepidospermum rhoifolium";"Crep"
"1948";"Tabernaemontana amygdalifolia";"Tabe"
"1949";"Vitex orinocensis";"Vite"
"1950";"Pipra mentalis";"Pipr"
"1951";"Anthurium sagittatum";"Anth"
"1952";"Senna papillosa";"Senn"
"1953";"Crateva tapia";"Crat"
"1954";"Myroxylon balsamum";"Myro"
"1955";"Eleocharis acutangula";"Eleo"
"1956";"Eleocharis retroflexa";"Eleo"
"1957";"Eschweilera coriacea";"Esch"
"1958";"Casearia cajambrensis";"Case"
"1959";"Columnea pulcherrima";"Colu"
"1960";"Bunchosia macrophylla";"Bunc"
"1961";"Terminalia amazonica";"Term"
"1962";"Coccoloba acuminata";"Cocc"
"1963";"Justicia bracteosa";"Just"
"1964";"Monteverdia macrocarpa";"Mont"
"1965";"Palicourea tsakiana";"Pali"
"1966";"Monstera pinnatipartita";"Mons"
"1967";"Allomarkgrafia foreroi";"Allo"
"1968";"Banara guianensis";"Bana"
"1969";"Isertia pittieri";"Iser"
"1970";"Palicourea luxurians";"Pali"
"1971";"Sabicea panamensis";"Sabi"
"1972";"Gonopterodendron arboreum";"Gono"
"1973";"Plumeria rubra";"Plum"
"1974";"Senna siamea";"Senn"
"1975";"Besleria hirsuta";"Besl"
"1976";"Centropogon cornutus";"Cent"
"1977";"Clusia crenata";"Clus"
"1978";"Columnea angustata";"Colu"
"1979";"Connarus silvanensis";"Conn"
"1980";"Croton pachypodus";"Crot"
"1981";"Cyclanthera carthagenensis";"Cycl"
"1982";"Sirystes sibilator";"Siry"
"1983";"Verbesina gigantea";"Verb"
"1984";"Coussarea venosa";"Cous"
"1985";"Phoradendron woodsonii";"Phor"
"1986";"Varronia spinescens";"Varr"
"1987";"Xiphidium caeruleum";"Xiph"
"1988";"Macleania pentaptera";"Macl"
"1989";"Philodendron ichthyoderma";"Phil"
"1990";"Annona hypoglauca";"Anno"
"1991";"Aphelandra lingua-bovis";"Aphe"
"1992";"Drymonia alloplectoides";"Drym"
"1993";"Duguetia vallicola";"Dugu"
"1994";"Erechtites hieraciifolius";"Erec"
"1995";"Erythroxylum macrophyllum";"Eryt"
"1996";"Peristethium leptostachyum";"Peri"
"1997";"Psychotria hylocharis";"Psyc"
"1998";"Psychotria panamensis";"Psyc"
"1999";"Cucumis sativus";"Cucu"
"2000";"Solanum americanum";"Sola"
"2001";"Eumachia nana";"Euma"
"2002";"Hebeclinium macrophyllum";"Hebe"
"2003";"Jupunba trapezifolia";"Jupu"
"2004";"Mandevilla trianae";"Mand"
"2005";"Miconia crenata";"Mico"
"2006";"Miconia ostrina";"Mico"
